[Error] Viewport argument key "target-densitydpi" not recognized and ignored. (try.html, line 5)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 228 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:16 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35682054885115 (try.html, line 34)
[Log] Longitude: -75.80053740632138 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 229 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:17 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35678795574623 (try.html, line 34)
[Log] Longitude: -75.80051891342009 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 230 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:18 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35668606490038 (try.html, line 34)
[Log] Longitude: -75.80046110153489 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 231 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:19 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35667401869574 (try.html, line 34)
[Log] Longitude: -75.80045426668221 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 232 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:20 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356721043467594 (try.html, line 34)
[Log] Longitude: -75.80048094798258 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 233 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:21 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35675186918631 (try.html, line 34)
[Log] Longitude: -75.80049843800225 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 234 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:22 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356780712575826 (try.html, line 34)
[Log] Longitude: -75.8005148036682 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 235 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:23 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35680758928417 (try.html, line 34)
[Log] Longitude: -75.80053005316586 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 236 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:24 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35680758790373 (try.html, line 34)
[Log] Longitude: -75.80053005251102 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 237 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:25 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3568287086281 (try.html, line 34)
[Log] Longitude: -75.80054203601321 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 238 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:26 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35683060857262 (try.html, line 34)
[Log] Longitude: -75.80054311420099 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 239 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:27 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35683060765233 (try.html, line 34)
[Log] Longitude: -75.80054311354615 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 240 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:28 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356829767425 (try.html, line 34)
[Log] Longitude: -75.80054263682541 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 241 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:29 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3568297665047 (try.html, line 34)
[Log] Longitude: -75.80054263617058 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 242 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:30 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356829765584415 (try.html, line 34)
[Log] Longitude: -75.80054263584316 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 243 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:31 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35682005787485 (try.html, line 34)
[Log] Longitude: -75.80053712768859 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 244 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:32 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35681823339401 (try.html, line 34)
[Log] Longitude: -75.80053609239258 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 245 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:33 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35681507080702 (try.html, line 34)
[Log] Longitude: -75.80053429814143 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 246 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:34 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356802652371236 (try.html, line 34)
[Log] Longitude: -75.80052725177666 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 247 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:35 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35679043363639 (try.html, line 34)
[Log] Longitude: -75.80052031902596 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 248 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:36 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35677582167523 (try.html, line 34)
[Log] Longitude: -75.80051202847244 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 249 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:37 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3567473661872 (try.html, line 34)
[Log] Longitude: -75.80049588315887 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 250 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:38 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35672296780353 (try.html, line 34)
[Log] Longitude: -75.80048203992192 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 251 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:39 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35669560513924 (try.html, line 34)
[Log] Longitude: -75.8004665144108 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 252 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:40 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35666048483078 (try.html, line 34)
[Log] Longitude: -75.80044658741826 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 253 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:41 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35662273935574 (try.html, line 34)
[Log] Longitude: -75.80042517132824 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 254 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:42 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356568575758345 (try.html, line 34)
[Log] Longitude: -75.80039443921123 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 255 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:43 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356517617046606 (try.html, line 34)
[Log] Longitude: -75.80036552590173 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 256 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:44 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356467122119525 (try.html, line 34)
[Log] Longitude: -75.80033687583636 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 257 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:45 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35642262197821 (try.html, line 34)
[Log] Longitude: -75.80031162699015 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 258 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:46 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35638356905828 (try.html, line 34)
[Log] Longitude: -75.80028946897073 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 259 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:47 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35635281768327 (try.html, line 34)
[Log] Longitude: -75.80027202086058 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 260 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:48 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35633180997829 (try.html, line 34)
[Log] Longitude: -75.80026010153233 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 261 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:49 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3563230619165 (try.html, line 34)
[Log] Longitude: -75.80024630275233 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 262 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:50 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35641231112681 (try.html, line 34)
[Log] Longitude: -75.79990938312913 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 263 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:51 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35642102830611 (try.html, line 34)
[Log] Longitude: -75.79987091019358 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 264 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:52 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35643133804701 (try.html, line 34)
[Log] Longitude: -75.79982925213481 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 265 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:53 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35644223452113 (try.html, line 34)
[Log] Longitude: -75.79978700734283 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 266 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:54 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35645329863332 (try.html, line 34)
[Log] Longitude: -75.79974660656954 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 267 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:55 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35646377601228 (try.html, line 34)
[Log] Longitude: -75.79970008700694 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 268 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:56 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35647504967205 (try.html, line 34)
[Log] Longitude: -75.79965516000594 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 269 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:57 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35648749679826 (try.html, line 34)
[Log] Longitude: -75.79961006536688 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 270 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:58 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356501410757524 (try.html, line 34)
[Log] Longitude: -75.79956564128007 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 271 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:40:59 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35651922230176 (try.html, line 34)
[Log] Longitude: -75.79950881197657 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 272 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:00 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3565441584637 (try.html, line 34)
[Log] Longitude: -75.79946564517523 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 273 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:01 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35657412376754 (try.html, line 34)
[Log] Longitude: -75.7994364761522 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 274 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:02 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356604298618954 (try.html, line 34)
[Log] Longitude: -75.79942759133483 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 275 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:03 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35663426392279 (try.html, line 34)
[Log] Longitude: -75.79943002208675 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 276 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:04 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35666087646536 (try.html, line 34)
[Log] Longitude: -75.79943379394318 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 277 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:05 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356690506493074 (try.html, line 34)
[Log] Longitude: -75.79942926771547 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 278 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:06 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35671615511678 (try.html, line 34)
[Log] Longitude: -75.79941325828041 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 279 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:07 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35673141018055 (try.html, line 34)
[Log] Longitude: -75.79940428964402 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 280 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:08 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3567402530884 (try.html, line 34)
[Log] Longitude: -75.79939548864569 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 281 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:09 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35674565941594 (try.html, line 34)
[Log] Longitude: -75.79939858994986 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 282 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:10 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35675299358122 (try.html, line 34)
[Log] Longitude: -75.79941124662365 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 283 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:11 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356764644426626 (try.html, line 34)
[Log] Longitude: -75.79942264601196 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 284 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:12 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35678279124699 (try.html, line 34)
[Log] Longitude: -75.79944217584635 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 285 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:13 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35680458419524 (try.html, line 34)
[Log] Longitude: -75.79946422025169 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 286 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:14 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35682742488138 (try.html, line 34)
[Log] Longitude: -75.79948852777089 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 287 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:15 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356850349386555 (try.html, line 34)
[Log] Longitude: -75.79951660714651 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 288 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:16 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35686753228806 (try.html, line 34)
[Log] Longitude: -75.79954460270311 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 289 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:17 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35688169770442 (try.html, line 34)
[Log] Longitude: -75.7995691616794 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 290 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:18 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3568922169929 (try.html, line 34)
[Log] Longitude: -75.79959422356988 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 291 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:19 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356901856181544 (try.html, line 34)
[Log] Longitude: -75.79962020746972 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 292 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:20 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35690776542328 (try.html, line 34)
[Log] Longitude: -75.79964837066437 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 293 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:21 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35690776542328 (try.html, line 34)
[Log] Longitude: -75.79967686913515 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 294 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:22 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.3569022752767 (try.html, line 34)
[Log] Longitude: -75.79970595433916 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 295 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:23 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35689271990709 (try.html, line 34)
[Log] Longitude: -75.79973529100026 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 296 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:24 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35688102715216 (try.html, line 34)
[Log] Longitude: -75.79976253218557 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 297 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:25 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356867951383215 (try.html, line 34)
[Log] Longitude: -75.79978600151445 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 298 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:26 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356854498428625 (try.html, line 34)
[Log] Longitude: -75.79980628572012 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 299 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:27 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35683966246001 (try.html, line 34)
[Log] Longitude: -75.79981768510844 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 300 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:28 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356829101262015 (try.html, line 34)
[Log] Longitude: -75.79982765957321 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 301 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:29 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.35682247955851 (try.html, line 34)
[Log] Longitude: -75.79982858158256 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 302 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:30 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 303 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:31 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 304 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:32 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 305 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:33 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 306 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:34 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 307 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:35 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 308 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:36 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 309 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:37 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 310 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:38 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 311 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:39 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 312 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:40 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 313 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:41 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 314 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:42 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 315 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:43 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 316 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:44 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 317 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:45 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 318 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:46 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 319 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:47 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 320 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:48 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 321 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:49 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 322 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:50 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 323 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:51 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 324 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:52 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.356818079059344 (try.html, line 34)
[Log] Longitude: -75.79982372007872 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 325 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:41:53 GMT-0500 (EST) (try.html, line 33)
